cgpa,aptitude_score,communication_skills,num_projects,internships,technical_skills,certifications,dsa_level,attendance,placement_score,placed
7.11,51,3,3,0,5,7,8,90.5,37.88,0
6.04,94,7,2,0,3,6,10,75.6,48.01,0
7.8,70,1,6,3,15,0,8,82.6,63.56,1
7.76,53,1,8,4,3,7,2,77.5,51.82,0
7.51,73,10,4,2,4,2,4,76.8,49.34,0
7.27,57,5,3,3,7,4,1,81.1,31.96,0
6.08,95,5,10,3,12,2,7,84.4,87.67,1
7.08,73,8,1,4,12,3,4,63.0,54.97,1
7.16,50,7,1,3,12,1,8,95.2,53.33,0
6.7,80,8,4,0,14,2,9,55.7,56.2,1
7.34,51,6,6,0,2,5,9,69.8,46.1,0
7.9,88,6,9,1,10,7,3,76.9,66.59,1
9.39,54,2,9,3,4,1,5,82.9,65.14,1
7.67,96,6,8,1,4,4,6,96.9,63.02,1
7.76,70,5,6,2,1,1,6,55.7,37.96,0
7.43,88,3,4,0,10,2,10,71.9,51.85,0
5.58,97,6,9,2,8,2,8,52.5,53.89,0
7.47,68,8,9,4,1,5,6,78.4,77.0,1
7.56,65,9,9,0,8,0,6,81.3,62.9,1
9.96,57,1,5,2,7,7,4,97.1,61.08,1
7.31,71,3,10,4,9,5,7,79.4,62.48,1
7.8,61,3,2,2,8,2,8,90.5,42.01,0
7.47,77,8,4,4,5,6,3,85.0,62.44,1
6.33,56,1,7,4,8,1,7,72.8,47.93,0
8.64,62,5,0,0,14,5,3,61.1,41.18,0
8.25,63,3,0,1,15,5,8,81.3,51.96,0
8.29,89,2,6,4,11,7,1,60.1,57.91,1
6.59,47,8,4,4,10,6,1,93.5,52.45,0
8.9,80,3,4,0,12,6,6,76.1,44.75,0
6.1,45,7,0,1,15,6,10,92.3,46.49,0
8.09,44,1,8,3,12,7,9,72.2,63.04,1
9.69,83,6,0,3,3,0,4,81.2,61.0,1
6.51,96,3,4,1,15,2,6,80.5,45.78,0
6.93,68,8,9,2,10,2,5,77.5,61.42,1
7.6,67,6,8,0,7,4,1,72.8,44.59,0
7.0,50,2,3,1,12,7,6,82.7,52.26,0
5.95,96,6,7,3,4,0,9,66.9,63.84,1
7.57,40,7,5,4,5,4,3,63.5,48.73,0
6.44,82,5,10,3,9,4,3,92.9,57.47,1
7.97,58,3,2,4,7,4,2,86.7,42.09,0
6.58,48,4,3,0,4,7,4,78.8,28.78,0
9.05,66,4,1,4,6,3,10,98.0,66.35,1
6.72,73,6,0,1,10,4,3,74.8,40.74,0
7.18,83,10,7,4,14,5,2,93.9,78.74,1
8.31,43,1,0,2,11,1,1,80.1,31.09,0
6.27,75,4,10,1,7,5,3,65.7,52.8,0
7.73,57,10,0,0,13,5,10,100.0,75.49,1
8.81,54,4,3,1,10,2,6,89.9,51.74,0
5.89,90,10,9,2,13,3,9,76.5,81.51,1
7.68,52,1,9,0,9,7,5,86.7,46.63,0
7.76,58,9,5,3,4,4,3,73.2,61.6,1
8.28,88,4,8,2,10,2,5,87.9,71.05,1
6.26,45,7,0,0,3,0,5,49.3,22.04,0
6.18,87,3,6,4,8,0,5,65.8,48.14,0
8.02,95,10,9,1,15,7,7,89.8,85.23,1
7.8,51,3,10,0,1,2,5,75.0,30.37,0
7.75,90,8,4,1,9,1,7,80.5,60.04,1
7.85,76,8,7,4,13,7,9,61.8,95.6,1
6.82,56,1,6,0,1,2,5,100.0,25.93,0
7.73,97,10,3,3,2,2,2,92.3,62.08,1
7.79,62,2,3,2,13,3,5,75.6,52.37,0
6.79,65,8,5,0,8,7,8,73.1,54.47,1
9.37,68,1,5,4,9,0,4,90.4,65.66,1
7.97,72,8,8,0,7,0,2,100.0,32.4,0
6.31,99,8,4,1,3,4,10,89.4,52.96,0
8.16,66,2,7,0,7,5,3,100.0,40.71,0
6.53,64,4,4,3,6,7,9,66.9,50.7,0
8.29,95,6,1,0,2,2,9,68.2,52.05,0
8.66,94,9,5,2,3,7,8,63.7,77.49,1
6.68,49,8,8,0,11,2,8,83.3,56.26,1
8.46,86,8,2,1,13,1,8,80.1,69.19,1
7.91,62,7,0,0,12,7,8,76.2,50.18,0
8.32,60,9,0,3,13,6,8,87.7,65.34,1
9.4,60,2,2,4,10,6,1,92.8,59.16,1
7.25,82,3,9,0,10,0,6,59.7,42.4,0
6.75,52,10,4,0,13,1,9,70.8,43.5,0
6.61,76,8,2,2,12,3,8,87.8,65.51,1
6.68,72,6,8,3,15,4,3,72.4,69.15,1
7.42,63,10,7,4,5,1,1,68.4,63.64,1
7.84,83,9,2,1,10,0,2,90.2,49.81,0
7.78,50,10,8,0,4,3,2,62.5,47.99,0
8.33,56,4,5,4,2,2,7,74.4,63.46,1
7.51,43,8,6,1,4,3,6,81.9,44.55,0
8.95,86,10,3,3,12,5,2,71.1,78.65,1
7.24,64,3,3,3,8,7,8,87.4,60.22,1
10.0,69,3,1,4,5,1,9,71.2,69.38,1
8.13,48,8,4,1,5,0,7,94.9,51.2,0
6.64,60,5,7,3,13,1,4,76.5,58.91,1
6.43,59,3,6,4,12,2,1,86.1,45.2,0
7.98,58,10,6,3,12,6,4,87.0,63.84,1
7.28,58,1,5,3,10,2,4,70.5,50.52,0
8.21,51,3,2,3,3,0,8,53.4,35.18,0
7.97,76,9,4,2,13,5,4,82.3,74.61,1
7.43,81,5,0,1,8,4,4,78.9,41.44,0
6.65,56,10,6,4,6,7,2,84.7,67.35,1
5.99,76,2,8,4,2,7,10,75.3,67.85,1
7.05,93,7,0,1,2,3,7,72.8,47.1,0
8.36,87,2,1,1,9,3,4,100.0,49.87,0
7.71,78,4,2,1,13,2,6,60.3,50.03,0
6.25,67,7,2,1,7,1,3,86.8,21.13,0
7.67,80,4,7,0,10,6,7,71.1,59.14,1
7.89,74,7,6,4,9,1,6,74.0,59.84,1
6.62,86,7,5,0,14,5,3,74.2,51.87,0
7.65,87,1,9,3,6,4,4,68.4,48.58,0
7.56,57,6,9,3,15,7,10,84.9,76.45,1
6.36,53,9,10,4,5,1,5,94.7,70.27,1
7.86,74,2,3,3,12,7,9,83.6,73.83,1
8.06,83,3,8,1,1,3,6,79.2,51.32,0
8.58,80,10,0,0,12,7,4,66.2,60.7,1
8.55,99,5,10,1,6,6,7,84.2,74.03,1
6.12,46,9,1,3,6,7,2,100.0,47.42,0
6.56,80,4,3,0,3,1,4,73.4,23.13,0
8.02,52,1,2,1,3,6,5,73.5,40.47,0
8.01,57,4,0,4,15,7,4,71.3,56.45,1
8.02,76,6,4,1,3,4,4,72.1,44.38,0
10.0,52,5,6,3,3,3,9,45.1,65.98,1
8.07,75,1,1,0,7,7,2,82.9,31.41,0
8.64,70,4,4,4,10,6,6,67.9,70.24,1
8.45,41,6,5,0,11,1,8,58.7,45.69,0
8.15,55,10,10,4,2,3,8,87.0,80.49,1
7.18,48,10,6,0,10,2,7,65.0,58.86,1
8.26,48,4,0,3,13,2,10,73.9,53.09,0
6.73,77,9,6,4,10,5,4,95.6,68.91,1
7.26,50,5,3,2,2,2,7,61.1,40.81,0
7.01,93,8,7,0,3,1,10,59.6,53.47,0
7.58,95,9,3,0,10,4,6,81.2,63.12,1
9.81,61,10,5,1,12,3,6,91.8,78.61,1
5.63,72,5,8,4,7,6,2,59.1,55.17,1
8.19,75,6,4,2,3,0,8,82.9,51.22,0
5.89,84,1,3,3,7,2,8,85.0,38.19,0
7.03,62,7,7,1,9,2,7,53.3,49.25,0
8.59,84,4,8,2,11,0,9,87.6,65.7,1
7.56,84,2,3,4,10,6,8,88.5,70.29,1
6.42,73,5,2,2,12,6,9,74.3,50.08,0
6.78,48,3,7,0,15,0,9,93.0,61.73,1
8.18,63,6,4,0,11,6,6,91.6,65.64,1
6.77,47,8,1,1,4,1,2,79.2,26.32,0
7.72,46,7,9,4,7,6,7,72.6,76.42,1
7.55,75,3,8,4,9,3,3,66.3,46.94,0
6.85,57,8,2,2,14,6,7,77.5,74.63,1
9.64,42,2,1,1,8,7,9,84.8,53.06,0
8.13,67,10,0,4,8,7,10,74.1,76.81,1
5.47,45,9,7,0,9,2,10,51.6,33.58,0
7.69,83,4,10,2,14,4,2,93.2,67.54,1
6.84,83,1,2,3,5,1,6,80.3,32.84,0
8.35,60,8,6,0,14,1,6,73.4,58.88,1
6.71,67,7,0,1,5,6,9,88.3,46.53,0
7.39,79,5,0,4,3,4,9,96.3,52.97,0
8.0,93,10,8,0,5,4,5,44.4,55.89,1
8.37,93,5,7,3,8,5,5,83.2,73.06,1
6.3,40,7,2,3,12,4,9,60.9,44.04,0
7.17,75,5,5,1,5,6,8,84.0,51.39,0
7.03,60,8,10,0,4,6,7,79.5,62.19,1
6.85,99,6,2,2,8,0,8,85.6,70.04,1
9.27,82,5,3,0,7,2,6,72.0,55.8,1
7.9,74,9,0,3,15,7,3,55.5,57.01,1
6.24,52,2,4,1,14,5,7,72.6,39.84,0
8.42,96,1,0,1,14,6,8,82.9,60.29,1
9.62,88,8,0,2,6,0,8,90.2,64.24,1
8.53,93,3,9,1,5,5,1,63.9,57.56,1
5.98,93,7,10,1,14,2,7,90.3,67.44,1
7.02,49,10,10,1,5,5,3,70.2,58.61,1
8.77,92,8,6,1,13,0,2,82.3,60.06,1
6.79,83,6,5,1,10,3,2,71.9,52.13,0
7.94,86,10,1,3,2,7,8,80.2,69.23,1
8.27,92,9,10,0,13,6,9,88.7,81.1,1
6.57,49,7,1,4,15,7,3,63.3,65.36,1
7.44,85,10,10,1,4,2,3,69.8,47.25,0
4.26,52,5,6,4,8,1,6,80.2,33.83,0
6.48,76,8,0,4,8,2,10,100.0,59.56,1
7.25,77,2,1,3,11,2,1,67.6,50.84,0
6.25,63,7,7,1,1,2,6,100.0,54.8,1
9.13,41,4,5,4,2,3,3,100.0,62.05,1
6.07,61,9,1,1,5,6,4,76.8,36.77,0
7.06,56,1,6,2,9,0,9,74.4,59.59,1
7.63,75,7,3,2,10,6,3,69.7,57.17,1
8.94,53,6,1,2,11,1,1,77.2,49.16,0
6.06,49,8,5,4,12,0,3,61.1,46.05,0
8.66,74,5,10,2,13,5,7,77.1,77.78,1
7.51,64,1,8,3,11,5,7,96.0,61.92,1
6.52,42,1,10,3,7,5,5,70.7,44.34,0
7.96,86,9,8,4,10,0,1,75.1,69.66,1
7.7,77,10,7,1,5,4,8,57.6,67.33,1
6.9,56,6,2,0,1,3,10,82.5,39.66,0
7.57,51,10,2,1,15,4,8,81.2,71.84,1
7.11,93,5,1,1,15,6,10,78.8,47.56,0
7.61,91,1,4,1,6,5,10,75.4,58.47,1
8.16,63,6,3,1,12,3,10,74.5,66.41,1
9.09,68,6,6,0,8,0,2,84.0,54.05,1
6.26,82,3,3,2,7,5,10,77.7,52.33,0
9.63,64,8,8,1,2,0,3,81.8,57.05,1
5.55,75,1,1,3,12,3,4,80.6,40.12,0
7.35,97,1,10,4,5,0,1,91.5,60.57,1
8.09,99,6,5,4,14,0,4,86.1,68.57,1
7.78,65,10,6,3,11,1,5,80.3,68.07,1
6.88,77,1,3,1,4,6,3,96.2,45.25,0
7.29,40,6,5,0,9,4,10,83.0,39.1,0
7.01,59,1,6,2,10,7,2,93.7,40.49,0
6.91,94,6,3,4,1,4,6,85.3,66.28,1
8.35,67,3,7,2,12,4,8,55.9,70.05,1
7.86,55,8,8,0,6,2,7,93.7,59.67,1
6.81,86,6,0,4,3,1,1,79.6,34.71,0
8.4,56,1,6,2,11,7,4,77.4,49.03,0
7.81,79,5,8,0,9,5,3,81.4,49.92,0
8.31,67,8,9,2,5,5,6,73.9,78.16,1
8.13,97,3,4,1,13,5,9,80.7,64.3,1
6.67,51,6,1,0,6,4,9,70.9,38.9,0
6.94,66,5,9,2,11,6,7,93.3,62.53,1
8.25,93,6,5,1,9,4,9,76.6,74.37,1
8.11,92,10,6,1,9,7,8,73.4,75.59,1
7.48,81,1,1,0,8,6,5,66.9,35.86,0
7.62,98,7,1,3,9,1,9,81.2,55.67,1
8.78,86,9,9,4,4,6,7,80.2,77.92,1
6.91,69,2,9,0,6,7,5,82.7,46.88,0
8.05,80,10,0,1,5,0,8,65.7,44.12,0
7.3,73,5,3,1,5,4,7,58.8,57.6,1
7.28,76,10,6,0,4,5,9,85.5,51.27,0
8.6,45,4,8,3,2,0,10,95.8,56.73,1
8.33,46,6,2,4,12,4,1,65.7,50.65,0
8.31,71,6,10,2,6,3,9,97.1,72.63,1
8.81,71,2,6,0,9,2,7,81.4,45.79,0
7.52,92,2,6,4,12,4,1,77.9,51.2,0
8.18,64,4,6,4,1,3,1,73.2,40.25,0
7.19,72,1,1,1,14,7,5,61.4,40.68,0
7.82,94,9,5,2,7,1,8,89.9,81.5,1
7.37,97,7,1,0,6,3,9,68.7,52.73,0
7.6,46,7,5,1,3,1,6,68.6,47.89,0
8.1,91,3,9,1,1,4,10,89.9,68.65,1
6.68,96,3,2,3,13,1,8,55.4,59.6,1
9.59,51,1,1,4,4,3,6,59.7,31.81,0
6.49,55,3,5,0,15,6,6,77.8,43.1,0
6.29,55,3,1,0,14,2,4,81.5,35.39,0
8.66,82,4,4,0,9,0,5,83.8,44.52,0
8.29,92,4,1,1,15,0,2,74.4,55.6,1
8.12,75,3,2,3,2,2,3,100.0,52.49,0
8.13,52,10,2,2,3,5,3,75.3,46.71,0
7.49,46,8,5,1,2,0,5,75.2,35.54,0
6.6,75,8,5,2,14,7,5,68.4,56.98,1
7.58,86,1,9,3,2,4,6,79.5,52.89,0
6.82,90,7,2,4,10,5,5,85.4,56.38,1
8.48,48,2,2,0,11,4,6,92.4,45.81,0
7.35,71,1,0,2,11,3,8,60.1,33.76,0
6.67,50,3,6,1,8,7,2,75.0,40.34,0
7.18,47,4,7,2,3,3,4,83.4,44.49,0
7.91,72,6,1,4,7,5,6,85.0,51.71,0
6.94,62,10,3,0,8,5,5,78.1,57.95,1
6.68,64,5,9,2,3,7,1,84.5,49.49,0
7.74,95,4,6,4,2,7,9,68.3,76.74,1
7.74,47,8,7,1,13,5,3,96.7,54.33,1
6.99,84,4,0,3,13,5,2,89.9,52.43,0
7.03,61,10,3,1,8,1,9,61.9,59.44,1
7.73,98,2,5,0,3,6,7,65.1,48.33,0
6.05,43,3,2,1,7,5,5,65.4,38.52,0
6.09,79,6,4,1,12,7,6,86.1,55.27,1
6.78,42,8,9,1,1,6,4,62.6,50.84,0
7.29,68,8,8,1,14,5,1,74.0,58.35,1
7.81,80,9,10,0,15,3,4,83.5,72.34,1
8.98,68,7,2,4,12,4,9,77.2,68.0,1
8.36,73,2,4,2,6,6,1,81.1,47.32,0
7.34,73,8,7,3,12,3,10,65.2,71.06,1
7.48,67,7,5,2,12,0,3,85.1,45.93,0
6.5,52,8,3,2,13,7,5,70.6,64.18,1
7.48,54,3,7,3,9,1,7,74.1,51.62,0
7.21,99,7,10,0,12,1,9,80.9,64.24,1
7.82,62,10,2,3,3,4,6,79.2,56.4,1
6.67,83,9,2,0,14,5,3,78.3,42.0,0
8.02,65,3,3,2,7,3,7,69.0,57.37,1
9.03,43,10,8,0,13,0,4,74.4,54.72,1
7.39,65,6,4,4,6,3,3,78.0,54.72,1
7.9,79,2,7,3,8,7,7,61.5,72.82,1
8.19,48,2,5,4,3,7,7,72.4,53.74,0
7.1,94,5,2,2,3,5,4,82.7,50.27,0
7.72,44,5,7,3,4,5,7,62.7,49.04,0
7.51,95,7,8,2,3,7,2,91.9,77.3,1
7.6,71,2,7,4,9,2,1,93.2,56.52,1
6.73,59,7,3,2,11,7,2,63.1,44.85,0
7.52,89,5,10,3,4,3,4,94.3,59.42,1
8.0,50,6,5,3,6,4,8,76.3,60.12,1
8.95,54,8,0,2,8,3,3,83.0,48.33,0
8.46,71,10,3,3,11,1,10,72.0,87.29,1
9.65,67,4,7,3,13,0,6,89.1,64.14,1
6.73,61,7,0,2,8,6,6,82.9,48.91,0
8.37,80,6,2,4,15,4,9,68.2,76.94,1
7.68,56,10,0,3,5,2,9,64.0,55.6,1
9.69,98,2,8,3,5,0,4,60.5,61.05,1
6.69,65,8,1,3,6,0,9,80.3,50.4,0
6.66,83,10,8,3,10,6,6,84.9,81.33,1
6.9,46,9,3,2,7,1,2,85.8,42.35,0
5.38,81,5,1,4,13,1,10,76.6,57.22,1
6.97,96,10,3,4,13,1,6,64.1,51.0,0
6.74,65,4,10,0,10,4,2,69.8,43.78,0
7.65,64,6,10,3,14,3,8,91.8,67.7,1
7.84,49,8,9,3,7,0,4,72.2,60.38,1
9.38,98,3,5,0,13,3,5,79.7,71.23,1
8.45,84,10,10,4,4,3,8,65.1,79.05,1
6.92,58,1,6,1,6,1,8,82.0,37.37,0
6.6,50,4,2,1,7,3,6,72.5,29.34,0
7.99,52,4,2,4,5,0,4,90.6,51.2,0
6.18,92,1,9,3,5,0,1,87.3,39.12,0
9.33,47,9,7,1,2,5,7,72.1,74.66,1
8.68,79,3,4,2,7,2,8,76.5,61.05,1
7.03,43,5,3,2,12,4,9,71.4,53.72,0
5.79,86,6,6,0,6,3,2,61.0,32.92,0
8.85,70,8,6,4,11,4,1,67.7,72.81,1
7.39,67,6,8,4,1,4,4,80.4,47.12,0
8.74,50,3,8,1,4,4,5,81.9,50.8,0
5.91,82,6,4,3,3,6,10,79.8,58.9,1
6.9,40,1,7,4,12,7,1,74.4,50.08,0
7.51,88,4,9,1,15,5,5,89.2,66.27,1
7.55,86,6,0,1,3,4,6,78.8,38.77,0
7.05,91,7,8,4,7,7,3,86.4,71.07,1
8.12,77,10,7,1,11,7,7,56.7,68.34,1
6.43,63,3,5,0,12,5,6,40.0,25.85,0
7.36,93,9,2,0,10,0,4,81.4,51.98,0
7.62,99,7,2,4,4,6,3,60.9,62.48,1
8.01,96,1,7,3,15,3,5,75.5,68.54,1
8.21,86,2,4,0,12,5,3,74.4,55.06,1
6.38,70,1,9,0,8,2,10,97.0,44.99,0
5.97,80,9,10,4,11,7,9,82.8,75.9,1
8.78,85,9,6,2,9,4,9,80.0,80.89,1
7.83,89,7,4,1,3,7,6,88.0,58.59,1
6.75,65,10,7,0,5,6,6,82.4,50.81,0
9.05,88,3,9,2,4,2,4,72.5,58.88,1
7.62,89,5,9,3,14,0,4,90.9,63.67,1
8.68,44,4,3,2,12,0,2,64.7,28.38,0
7.57,59,7,1,4,10,1,10,81.9,60.78,1
9.56,91,9,2,3,15,4,4,59.4,69.96,1
9.26,80,2,7,3,6,1,8,80.4,68.01,1
7.25,50,8,10,2,11,6,10,80.3,72.53,1
8.47,95,9,6,4,10,2,2,98.1,81.97,1
8.15,93,10,1,0,4,7,9,59.2,73.17,1
8.87,72,10,5,2,8,3,1,70.8,63.9,1
6.54,89,9,8,0,3,1,2,87.9,34.5,0
8.19,77,10,3,2,11,0,2,82.0,65.0,1
8.56,66,7,8,0,5,4,6,80.2,68.58,1
5.74,73,9,1,2,13,7,7,66.5,56.31,1
6.32,54,9,1,3,1,2,3,70.9,41.6,0
5.46,71,3,8,1,13,5,9,92.9,52.44,0
7.23,100,4,6,3,15,6,5,77.4,59.34,1
8.22,97,2,6,0,6,6,5,82.5,49.36,0
9.0,60,10,0,4,11,0,4,76.6,72.51,1
7.57,85,3,10,3,5,5,9,63.8,60.6,1
9.13,44,5,5,1,8,6,8,89.2,63.15,1
6.12,45,5,6,0,9,3,4,84.0,33.4,0
5.8,77,6,10,3,8,7,4,100.0,60.62,1
7.44,61,7,5,2,8,4,2,65.8,44.33,0
7.88,57,7,5,4,12,7,9,87.9,80.37,1
7.47,53,1,1,0,14,3,3,62.3,23.54,0
5.43,49,2,5,3,13,6,4,79.9,32.45,0
7.41,85,9,3,0,3,3,7,89.7,53.96,0
6.2,52,10,8,2,4,7,10,53.1,69.65,1
8.17,70,2,0,1,15,6,8,75.5,60.0,1
7.87,69,6,7,3,11,4,8,71.2,66.36,1
6.56,42,1,4,0,4,4,4,69.6,12.18,0
6.99,69,3,0,0,15,5,7,82.6,42.28,0
6.44,45,2,3,0,15,3,10,91.4,52.44,0
7.44,68,3,0,1,14,2,1,76.4,35.81,0
8.46,47,5,5,0,11,5,6,80.5,57.11,1
6.51,83,10,1,4,5,4,6,79.4,65.02,1
8.0,84,6,4,4,13,0,6,78.0,69.58,1
6.97,82,9,6,0,9,6,2,64.9,51.5,0
6.71,83,10,1,4,12,5,8,91.3,77.89,1
7.39,72,4,5,3,9,1,5,81.5,48.66,0
6.46,56,7,5,4,10,2,5,82.7,46.15,0
6.95,87,6,4,0,13,6,2,68.3,51.58,0
6.3,50,2,4,2,12,5,4,72.5,45.08,0
9.46,52,10,2,3,14,4,9,75.9,73.95,1
7.54,89,8,9,1,1,7,9,59.6,74.25,1
6.8,50,7,9,0,14,4,6,57.7,62.84,1
7.71,70,7,10,1,14,2,9,70.8,71.99,1
7.39,67,8,1,2,8,1,4,84.3,40.75,0
7.28,83,1,6,1,14,5,1,70.2,44.39,0
8.11,45,1,0,0,1,7,2,65.8,16.18,0
8.26,80,8,5,0,2,5,1,68.2,41.11,0
6.97,55,4,5,2,7,3,8,72.5,50.85,0
6.92,43,5,2,0,15,0,9,73.8,30.94,0
7.22,74,8,1,2,8,4,10,100.0,55.68,1
5.2,99,5,1,2,1,5,6,90.7,39.55,0
5.98,87,10,8,0,15,5,2,90.3,58.54,1
8.87,95,4,10,4,3,6,6,92.0,83.42,1
9.14,98,6,4,2,7,6,9,66.0,88.02,1
7.25,65,5,6,0,13,5,3,63.3,46.04,0
8.08,96,7,4,4,9,1,9,64.7,77.54,1
7.81,51,10,6,2,8,0,2,94.0,46.0,0
10.0,50,7,3,4,8,5,5,71.4,75.0,1
8.62,76,4,7,3,15,2,2,63.0,57.94,1
7.37,64,5,10,3,9,4,7,72.8,67.24,1
6.54,57,3,9,4,10,3,10,75.1,64.17,1
5.89,58,4,10,2,3,6,9,81.2,60.85,1
7.7,62,4,9,0,8,2,7,81.0,43.92,0
6.74,94,3,6,1,1,4,5,68.1,27.65,0
6.08,77,10,9,0,8,7,4,86.2,57.31,1
6.85,93,5,4,1,13,6,4,70.3,56.73,1
6.42,57,5,10,1,7,1,10,76.1,54.5,1
9.19,65,7,5,2,13,6,8,86.2,86.58,1
8.38,45,4,4,4,15,0,10,70.3,68.4,1
7.49,43,4,6,0,8,0,10,71.2,40.25,0
8.98,83,9,1,4,1,4,10,85.1,62.52,1
7.58,90,6,4,3,6,2,10,67.7,64.31,1
6.64,68,4,9,2,7,3,10,73.4,65.88,1
9.02,98,2,2,2,14,1,1,84.7,49.29,0
8.04,100,6,8,3,11,4,5,100.0,78.43,1
